Gh id,Wmo id,Name,Full name,Latitude,Longitude,Elevation,Station ty,Rg region,Di distric,Ba basin,Xcoo,Ycoo
P2BOSE01,,Boseò,"Boseò, Muskı","503110","150227",390.000000000000000,MSS,Støedoèeskı,Mladá Boleslav,Jizera,15.04083333,50.51944444
B2BROD01,"11729",Brod nad Dyjí,Brod nad Dyjí,"485224","163209",177.000000000000000,AKS1,Jihomoravskı,Bøeclav,Dyje,16.53583333,48.87333333
P2BROD01,,Brodce,Brodce,"502005","145158",220.000000000000000,MSS,Støedoèeskı,Mladá Boleslav,Jizera,14.86611111,50.33472222
O1SERA01,"11730",Šerák,Šerák,"501115","170630",1328.000000000000000,AMS1,Olomouckı,Jeseník,Kladská Nisa,17.10833333,50.18750000
P2DBOU01,,Dolní Bousov,Dolní Bousov,"502616","150830",240.000000000000000,MSS,Støedoèeskı,Mladá Boleslav,Jizera,15.14166667,50.43777778
O1JESE01,"11731",Jeseník,Jeseník,"501339","171115",465.000000000000000,AKS1,Olomouckı,Jeseník,Kladská Nisa,17.18750000,50.22750000
P2DVOR01,,Dvoraèky,Dvoraèky,"504450","153055",1115.000000000000000,ASS,Libereckı,Semily,Jizera,15.51527778,50.74722222
O1KAST01,"11733",Karlova Studánka,Karlova Studánka,"500427","171825",795.000000000000000,AKS3,Moravskoslezskı,Bruntál,Opava,17.30694444,50.07416667
O1SVET01,"11736",Svìtlá Hora,Svìtlá Hora,"500159","172404",593.000000000000000,AKS1,Moravskoslezskı,Bruntál,Moravice,17.40111111,50.03305556
P2JDUL01,,Josefùv Dùl,Josefùv Dùl,"504659","151348",590.000000000000000,MSS,Libereckı,Jablonec nad Nisou,Jizera,15.23000000,50.78305556
P2JILE01,,Jilemnice,Jilemnice,"503605","153045",462.000000000000000,MSS,Libereckı,Semily,Jizera,15.51250000,50.60138889
P2JIVI01,,Jivina,Jivina,"503314","145657",308.000000000000000,MSS,Støedoèeskı,Mladá Boleslav,Jizera,14.94916667,50.55388889
P2KATU01,,Katusice,Katusice,"502640","144640",312.000000000000000,MSS,Støedoèeskı,Mladá Boleslav,Jizera,14.77777778,50.44444444
